"label" "value"
1 7.204191
2 6.404571
3 7.080569
4 6.431363
6 7.764973
7 6.438893
8 7.127229
9 6.603834
10 6.642001
11 6.848046
15 7.872562
16 7.480357
17 7.728497
18 7.632396
19 7.433055
31 7.629748
32 7.563798
44 7.550536
47 8.373976
48 8.253929
49 8.282274
50 7.846819
55 8.325921
56 8.206732
60 8.356888
64 7.811412
65 7.811134
66 7.657242
67 7.645693
68 7.581016
75 7.919658
76 7.91329
77 7.685949
78 7.580333
79 7.370937
83 8.407577
84 8.365546
85 7.947077
86 7.759423
87 7.767712
88 8.394652
89 7.934031
90 8.336966
96 7.513139
100 8.290589
101 7.775921
102 7.709721
103 6.999967
104 6.676438
105 7.209518
106 6.329851
107 7.304085
108 6.760744
109 6.550908
110 6.934836
111 7.146678
116 7.698869
117 7.633592
118 7.820514
119 7.412424
120 7.750467
121 7.568105
135 7.682972
136 7.337267
147 7.690234
148 7.486819
149 7.508624
152 8.369383
153 8.116879
154 7.984884
155 8.166078
159 8.089707
160 8.178767
161 7.943506
168 7.883481
169 8.200374
170 7.902082
171 7.779549
172 7.607079
186 8.105392
187 7.996044
188 7.878263
189 7.633034
190 7.722879
191 8.224184
192 8.377439
193 8.387943
198 7.258584
4101 8.465401
4102 8.432707
4111 8.6711
4112 8.473093
4201 8.076653
4202 8.591525
7001 7.859444
7002 7.987447
7011 7.118532
7012 8.448336
7021 5.37345
7022 7.153996
7101 6.726655
7102 6.524841
