RH4001,RH4002
Background+FreeSurfer_Defined_Medial_Wall,-0.08873975
7Networks_RH_Vis_1,-2.378819
7Networks_RH_Vis_2,0.01600961
7Networks_RH_Vis_3,-3.745085
7Networks_RH_Vis_4,-4.156449
7Networks_RH_Vis_5,-3.978923
7Networks_RH_Vis_6,-4.337024
7Networks_RH_Vis_7,-1.518265
7Networks_RH_Vis_8,-3.926533
7Networks_RH_Vis_9,-3.68351
7Networks_RH_Vis_10,-3.652406
7Networks_RH_Vis_11,-4.372063
7Networks_RH_Vis_12,-4.408117
7Networks_RH_Vis_13,0.2865288
7Networks_RH_Vis_14,-3.914599
7Networks_RH_Vis_15,-2.798543
7Networks_RH_Vis_16,-4.025757
7Networks_RH_Vis_17,-0.5025548
7Networks_RH_Vis_18,-3.588607
7Networks_RH_Vis_19,-3.975206
7Networks_RH_Vis_20,-4.16307
7Networks_RH_Vis_21,-1.716539
7Networks_RH_Vis_22,-3.946074
7Networks_RH_Vis_23,-4.414451
7Networks_RH_Vis_24,-4.34656
7Networks_RH_Vis_25,-4.457955
7Networks_RH_Vis_26,-4.378865
7Networks_RH_Vis_27,-3.551431
7Networks_RH_Vis_28,-4.429717
7Networks_RH_Vis_29,-4.482757
7Networks_RH_Vis_30,-4.237095
7Networks_RH_SomMot_1,-3.201516
7Networks_RH_SomMot_2,-2.543572
7Networks_RH_SomMot_3,-3.55667
7Networks_RH_SomMot_4,-3.862748
7Networks_RH_SomMot_5,-4.575477
7Networks_RH_SomMot_6,-4.3918
7Networks_RH_SomMot_7,-3.578916
7Networks_RH_SomMot_8,-2.767024
7Networks_RH_SomMot_9,-4.441018
7Networks_RH_SomMot_10,-4.352519
7Networks_RH_SomMot_11,-4.619955
7Networks_RH_SomMot_12,-3.895025
7Networks_RH_SomMot_13,-4.940038
7Networks_RH_SomMot_14,-4.510604
7Networks_RH_SomMot_15,-4.457295
7Networks_RH_SomMot_16,-4.819172
7Networks_RH_SomMot_17,-4.307446
7Networks_RH_SomMot_18,-4.545878
7Networks_RH_SomMot_19,-5.130028
7Networks_RH_SomMot_20,-4.062123
7Networks_RH_SomMot_21,-5.264882
7Networks_RH_SomMot_22,-4.553769
7Networks_RH_SomMot_23,-5.345319
7Networks_RH_SomMot_24,-5.18826
7Networks_RH_SomMot_25,-5.361472
7Networks_RH_SomMot_26,-5.332905
7Networks_RH_SomMot_27,-5.296674
7Networks_RH_SomMot_28,-5.043088
7Networks_RH_SomMot_29,-5.277129
7Networks_RH_SomMot_30,-5.24833
7Networks_RH_SomMot_31,-5.055001
7Networks_RH_SomMot_32,-5.204473
7Networks_RH_SomMot_33,-5.002284
7Networks_RH_SomMot_34,-4.795172
7Networks_RH_SomMot_35,-5.118153
7Networks_RH_SomMot_36,-4.851949
7Networks_RH_SomMot_37,-4.548581
7Networks_RH_SomMot_38,-5.232464
7Networks_RH_SomMot_39,-5.255516
7Networks_RH_SomMot_40,-5.188145
7Networks_RH_DorsAttn_Post_1,-2.063301
7Networks_RH_DorsAttn_Post_2,-1.397222
7Networks_RH_DorsAttn_Post_3,-1.696305
7Networks_RH_DorsAttn_Post_4,1.486733
7Networks_RH_DorsAttn_Post_5,-1.394897
7Networks_RH_DorsAttn_Post_6,-2.916828
7Networks_RH_DorsAttn_Post_7,-2.262698
7Networks_RH_DorsAttn_Post_8,-1.01298
7Networks_RH_DorsAttn_Post_9,-4.239636
7Networks_RH_DorsAttn_Post_10,0.05094948
7Networks_RH_DorsAttn_Post_11,0.2893149
7Networks_RH_DorsAttn_Post_12,-2.432804
7Networks_RH_DorsAttn_Post_13,-4.347276
7Networks_RH_DorsAttn_Post_14,-2.662391
7Networks_RH_DorsAttn_Post_15,0.8819603
7Networks_RH_DorsAttn_Post_16,-4.193256
7Networks_RH_DorsAttn_Post_17,-2.319015
7Networks_RH_DorsAttn_Post_18,-2.791083
7Networks_RH_DorsAttn_Post_19,-4.320977
7Networks_RH_DorsAttn_FEF_1,-2.951854
7Networks_RH_DorsAttn_FEF_2,-2.476409
7Networks_RH_DorsAttn_FEF_3,-4.056251
7Networks_RH_DorsAttn_PrCv_1,-1.143143
7Networks_RH_SalVentAttn_TempOccPar_1,0.6000319
7Networks_RH_SalVentAttn_TempOccPar_2,-1.677855
7Networks_RH_SalVentAttn_TempOccPar_3,-0.9664828
7Networks_RH_SalVentAttn_TempOccPar_4,-3.191209
7Networks_RH_SalVentAttn_TempOccPar_5,-3.042176
7Networks_RH_SalVentAttn_TempOccPar_6,-2.021221
7Networks_RH_SalVentAttn_TempOccPar_7,1.627752
7Networks_RH_SalVentAttn_PrC_1,-1.627113
7Networks_RH_SalVentAttn_FrOperIns_1,-2.511961
7Networks_RH_SalVentAttn_FrOperIns_2,-1.345352
7Networks_RH_SalVentAttn_FrOperIns_3,-2.887658
7Networks_RH_SalVentAttn_FrOperIns_4,-3.202838
7Networks_RH_SalVentAttn_FrOperIns_5,-0.8350279
7Networks_RH_SalVentAttn_FrOperIns_6,-3.408624
7Networks_RH_SalVentAttn_FrOperIns_7,-2.943848
7Networks_RH_SalVentAttn_FrOperIns_8,0.06272718
7Networks_RH_SalVentAttn_PFCl_1,-0.7185898
7Networks_RH_SalVentAttn_Med_1,-1.863531
7Networks_RH_SalVentAttn_Med_2,-4.063371
7Networks_RH_SalVentAttn_Med_3,-1.827966
7Networks_RH_SalVentAttn_Med_4,-1.782405
7Networks_RH_SalVentAttn_Med_5,-3.664934
7Networks_RH_SalVentAttn_Med_6,-4.480619
7Networks_RH_SalVentAttn_Med_7,-3.788302
7Networks_RH_SalVentAttn_Med_8,-1.966373
7Networks_RH_Limbic_OFC_1,2.726973
7Networks_RH_Limbic_OFC_2,1.186124
7Networks_RH_Limbic_OFC_3,5.99773
7Networks_RH_Limbic_OFC_4,3.342511
7Networks_RH_Limbic_OFC_5,4.7445
7Networks_RH_Limbic_OFC_6,6.104565
7Networks_RH_Limbic_TempPole_1,0.1723924
7Networks_RH_Limbic_TempPole_2,3.655459
7Networks_RH_Limbic_TempPole_3,5.127987
7Networks_RH_Limbic_TempPole_4,0.3435147
7Networks_RH_Limbic_TempPole_5,2.297374
7Networks_RH_Limbic_TempPole_6,0.04644991
7Networks_RH_Limbic_TempPole_7,2.957907
7Networks_RH_Cont_Par_1,5.870319
7Networks_RH_Cont_Par_2,4.583587
7Networks_RH_Cont_Par_3,4.276813
7Networks_RH_Cont_Par_4,1.769413
7Networks_RH_Cont_Par_5,3.606434
7Networks_RH_Cont_Par_6,4.597632
7Networks_RH_Cont_Temp_1,4.935086
7Networks_RH_Cont_Temp_2,4.344591
7Networks_RH_Cont_PFCv_1,2.230952
7Networks_RH_Cont_PFCl_1,3.847013
7Networks_RH_Cont_PFCl_2,5.089592
7Networks_RH_Cont_PFCl_3,4.931653
7Networks_RH_Cont_PFCl_4,-0.07035246
7Networks_RH_Cont_PFCl_5,1.850185
7Networks_RH_Cont_PFCl_6,2.200365
7Networks_RH_Cont_PFCl_7,0.808787
7Networks_RH_Cont_PFCl_8,2.247607
7Networks_RH_Cont_PFCl_9,4.210125
7Networks_RH_Cont_PFCl_10,3.413113
7Networks_RH_Cont_PFCl_11,2.755066
7Networks_RH_Cont_PFCl_12,6.094523
7Networks_RH_Cont_PFCl_13,4.002023
7Networks_RH_Cont_PFCl_14,4.972795
7Networks_RH_Cont_PFCl_15,-0.4693236
7Networks_RH_Cont_pCun_1,1.640098
7Networks_RH_Cont_pCun_2,3.74657
7Networks_RH_Cont_Cing_1,0.6817646
7Networks_RH_Cont_Cing_2,0.8727869
7Networks_RH_Cont_PFCmp_1,1.859099
7Networks_RH_Cont_PFCmp_2,3.778775
7Networks_RH_Default_Par_1,2.059177
7Networks_RH_Default_Par_2,1.00579
7Networks_RH_Default_Par_3,6.266129
7Networks_RH_Default_Par_4,4.585605
7Networks_RH_Default_Par_5,6.058405
7Networks_RH_Default_Temp_1,5.808
7Networks_RH_Default_Temp_2,6.508178
