"index","node_names","node_community","community_name"
1,"L_Default_1",1,"default"
2,"L_SMhand_2",2,"somatomotorHand"
3,"L_SMmouth_3",3,"somatomotorMouth"
4,"L_Default_4",1,"default"
5,"L_Visual_5",4,"visual"
6,"L_Default_6",1,"default"
7,"L_FrontoParietal_7",5,"frontoparietal"
8,"L__8",4,"visual"
9,"L__9",5,"frontoparietal"
10,"L_Auditory_10",6,"auditory"
11,"L_None_11",13,"none"
12,"L_CinguloParietal_12",7,"cinguloparietal"
13,"L_RetrosplenialTemporal_13",8,"retrosplenialTemporal"
14,"L_RetrosplenialTemporal_14",8,"retrosplenialTemporal"
15,"L_Visual_15",4,"visual"
16,"L_Visual_16",4,"visual"
17,"L_Visual_17",4,"visual"
18,"L__18",13,"none"
19,"L__19",13,"none"
20,"L__20",4,"visual"
21,"L_CinguloOperc_21",9,"cinguloopercular"
22,"L_CinguloOperc_22",9,"cinguloopercular"
23,"L_VentralAttn_23",10,"ventralAttention"
24,"L_FrontoParietal_24",5,"frontoparietal"
25,"L_Default_25",1,"default"
26,"L_Default_26",1,"default"
27,"L_CinguloOperc_27",9,"cinguloopercular"
28,"L_CinguloOperc_28",9,"cinguloopercular"
29,"L_Salience_29",11,"salience"
30,"L_SMhand_30",2,"somatomotorHand"
31,"L_SMhand_31",2,"somatomotorHand"
32,"L_SMhand_32",2,"somatomotorHand"
33,"L_SMhand_33",2,"somatomotorHand"
34,"L_CinguloOperc_34",9,"cinguloopercular"
35,"L_SMhand_35",2,"somatomotorHand"
36,"L_SMhand_36",2,"somatomotorHand"
37,"L_SMhand_37",2,"somatomotorHand"
38,"L_SMhand_38",2,"somatomotorHand"
39,"L_SMmouth_39",3,"somatomotorMouth"
40,"L_CinguloOperc_40",9,"cinguloopercular"
41,"L_DorsalAttn_41",12,"dorsalAttention"
42,"L_DorsalAttn_42",12,"dorsalAttention"
43,"L_DorsalAttn_43",12,"dorsalAttention"
44,"L_Default_44",1,"default"
45,"L_SMhand_45",2,"somatomotorHand"
46,"L_SMhand_46",2,"somatomotorHand"
47,"L_SMhand_47",2,"somatomotorHand"
48,"L_SMhand_48",2,"somatomotorHand"
49,"L_DorsalAttn_49",12,"dorsalAttention"
50,"L_SMhand_50",2,"somatomotorHand"
51,"L_DorsalAttn_51",12,"dorsalAttention"
52,"L_DorsalAttn_52",12,"dorsalAttention"
53,"L_SMmouth_53",3,"somatomotorMouth"
54,"L_SMhand_54",2,"somatomotorHand"
55,"L_DorsalAttn_55",12,"dorsalAttention"
56,"L_SMhand_56",2,"somatomotorHand"
57,"L_SMhand_57",2,"somatomotorHand"
58,"L_SMhand_58",2,"somatomotorHand"
59,"L_SMmouth_59",3,"somatomotorMouth"
60,"L_VentralAttn_60",10,"ventralAttention"
61,"L_VentralAttn_61",10,"ventralAttention"
62,"L_VentralAttn_62",10,"ventralAttention"
63,"L_CinguloOperc_63",9,"cinguloopercular"
64,"L_Auditory_64",6,"auditory"
65,"L_Auditory_65",6,"auditory"
66,"L_Auditory_66",6,"auditory"
67,"L_Auditory_67",6,"auditory"
68,"L_Auditory_68",6,"auditory"
69,"L_Auditory_69",6,"auditory"
70,"L_Auditory_70",6,"auditory"
71,"L__71",9,"cinguloopercular"
72,"L__72",9,"cinguloopercular"
73,"L_None_73",13,"none"
74,"L_DorsalAttn_74",12,"dorsalAttention"
75,"L_VentralAttn_75",10,"ventralAttention"
76,"L_CinguloOperc_76",9,"cinguloopercular"
77,"L_Auditory_77",6,"auditory"
78,"L_FrontoParietal_78",5,"frontoparietal"
79,"L_VentralAttn_79",10,"ventralAttention"
80,"L_VentralAttn_80",10,"ventralAttention"
81,"L_CinguloOperc_81",9,"cinguloopercular"
82,"L_CinguloOperc_82",9,"cinguloopercular"
83,"L_Salience_83",11,"salience"
84,"L_CinguloOperc_84",9,"cinguloopercular"
85,"L_VentralAttn_85",10,"ventralAttention"
86,"L_VentralAttn_86",10,"ventralAttention"
87,"L_DorsalAttn_87",12,"dorsalAttention"
88,"L_DorsalAttn_88",12,"dorsalAttention"
89,"L_CinguloParietal_89",7,"cinguloparietal"
90,"L_Visual_90",4,"visual"
91,"L_DorsalAttn_91",12,"dorsalAttention"
92,"L_DorsalAttn_92",12,"dorsalAttention"
93,"L_CinguloParietal_93",7,"cinguloparietal"
