"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",13
"13",14
"14",15
"15",16
"16",17
"17",18
"18",19
"19",20
"20",21
"21",22
"22",23
"23",26
"24",32
"25",33
"26",34
"27",35
"28",36
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",69
"37",70
"38",71
"39",72
"40",90
"41",92
"42",96
"43",97
"44",98
"45",99
"46",100
"47",101
"48",102
"49",103
"50",104
"51",105
"52",114
"53",115
"54",116
"55",117
"56",123
"57",126
"58",133
"59",134
"60",135
"61",136
"62",137
"63",138
"64",139
"65",143
"66",150
"67",151
"68",152
"69",153
"70",154
"71",155
"72",156
"73",157
"74",158
"75",159
"76",160
"77",166
"78",167
"79",168
"80",169
"81",170
"82",171
"83",172
"84",173
"85",174
"86",175
"87",176
"88",177
"89",190
"90",191
"91",192
"92",193
"93",201
"94",202
"95",203
"96",204
"97",205
"98",206
"99",207
"100",208
"101",209
"102",210
"103",211
"104",212
"105",213
"106",214
"107",215
"108",216
"109",217
"110",218
"111",219
"112",220
"113",221
"114",222
"115",223
"116",224
"117",231
"118",232
"119",233
"120",234
"121",235
"122",236
"123",237
"124",238
"125",239
"126",240
"127",241
"128",242
"129",243
"130",244
"131",271
"132",272
"133",273
"134",293
"135",294
"136",295
"137",296
"138",297
"139",298
"140",302
"141",303
"142",304
"143",305
"144",306
"145",307
"146",308
"147",309
"148",319
"149",320
"150",321
"151",322
"152",323
"153",324
"154",330
"155",331
"156",338
"157",339
"158",340
"159",341
"160",342
"161",343
"162",344
"163",345
"164",346
"165",347
"166",348
"167",360
"168",362
"169",363
"170",368
"171",369
"172",370
"173",371
"174",372
"175",373
"176",374
"177",375
"178",376
"179",377
"180",378
"181",379
"182",380
"183",381
"184",382
"185",383
"186",384
"187",392
"188",393
"189",395
"190",4101
"191",4102
"192",4111
"193",4112
"194",4201
"195",4202
"196",7001
"197",7002
"198",7011
"199",7012
"200",7021
"201",7022
"202",7101
"203",7102
