"index","node_names","node_community","community_name"
1,"LH_Vis_1",1,"visual"
2,"LH_Vis_2",1,"visual"
3,"LH_Vis_3",1,"visual"
4,"LH_Vis_4",1,"visual"
5,"LH_Vis_5",1,"visual"
6,"LH_Vis_6",1,"visual"
7,"LH_Vis_7",1,"visual"
8,"LH_Vis_8",1,"visual"
9,"LH_Vis_9",1,"visual"
10,"LH_Vis_10",1,"visual"
11,"LH_Vis_11",1,"visual"
12,"LH_Vis_12",1,"visual"
13,"LH_Vis_13",1,"visual"
14,"LH_Vis_14",1,"visual"
15,"LH_Vis_15",1,"visual"
16,"LH_Vis_16",1,"visual"
17,"LH_Vis_17",1,"visual"
18,"LH_Vis_18",1,"visual"
19,"LH_Vis_19",1,"visual"
20,"LH_Vis_20",1,"visual"
21,"LH_Vis_21",1,"visual"
22,"LH_Vis_22",1,"visual"
23,"LH_Vis_23",1,"visual"
24,"LH_Vis_24",1,"visual"
25,"LH_Vis_25",1,"visual"
26,"LH_Vis_26",1,"visual"
27,"LH_Vis_27",1,"visual"
28,"LH_Vis_28",1,"visual"
29,"LH_Vis_29",1,"visual"
30,"LH_Vis_30",1,"visual"
31,"LH_Vis_31",1,"visual"
32,"LH_SomMot_1",2,"somatomotor"
33,"LH_SomMot_2",2,"somatomotor"
34,"LH_SomMot_3",2,"somatomotor"
35,"LH_SomMot_4",2,"somatomotor"
36,"LH_SomMot_5",2,"somatomotor"
37,"LH_SomMot_6",2,"somatomotor"
38,"LH_SomMot_7",2,"somatomotor"
39,"LH_SomMot_8",2,"somatomotor"
40,"LH_SomMot_9",2,"somatomotor"
41,"LH_SomMot_10",2,"somatomotor"
42,"LH_SomMot_11",2,"somatomotor"
43,"LH_SomMot_12",2,"somatomotor"
44,"LH_SomMot_13",2,"somatomotor"
45,"LH_SomMot_14",2,"somatomotor"
46,"LH_SomMot_15",2,"somatomotor"
47,"LH_SomMot_16",2,"somatomotor"
48,"LH_SomMot_17",2,"somatomotor"
49,"LH_SomMot_18",2,"somatomotor"
50,"LH_SomMot_19",2,"somatomotor"
51,"LH_SomMot_20",2,"somatomotor"
52,"LH_SomMot_21",2,"somatomotor"
53,"LH_SomMot_22",2,"somatomotor"
54,"LH_SomMot_23",2,"somatomotor"
55,"LH_SomMot_24",2,"somatomotor"
56,"LH_SomMot_25",2,"somatomotor"
57,"LH_SomMot_26",2,"somatomotor"
58,"LH_SomMot_27",2,"somatomotor"
59,"LH_SomMot_28",2,"somatomotor"
